day,plot,PAR,GPP
,,µmol m-2 sek-1,µmol m-2 s-1
Dienstag,A1,597.3333333,8.144803113
Donnerstag,A1,1208.666667,15.49032393
Dienstag,A2,550,8.919398661
Donnerstag,A2,1130,15.65913166
Dienstag,A3,381,5.528913195
Donnerstag,A3,1203.333333,14.17310731
Dienstag,B1,769.6666667,10.90501174
Donnerstag,B1,1326.666667,12.44041826
Dienstag,B2,725,12.51611581
Donnerstag,B2,853.3333333,16.72241164
Dienstag,B3,765.6666667,14.00225005
Donnerstag,B3,1118.333333,15.65393826
Montag,C1,510.3333333,4.045255844
Dienstag,C1,380,2.139422589
Montag,C2,491.3333333,7.41726998
Dienstag,C2,379,4.191112
Montag,C3,497.3333333,4.797412856
Dienstag,C3,359.6666667,2.215940129
Montag,D1,619.6666667,8.230417206
Dienstag,D1,600,6.752499545
Montag,D2,483.3333333,4.435570133
Dienstag,D2,547,6.614721563
Montag,D3,586.3333333,5.977644327
Dienstag,D3,602.3333333,6.304257713
