day,plot,GPP,shannon_index,legu_biomass,legu_biomass_share,LAI,PAR,shoot_biomass
,,µmol CO2 m-2 s-1,,g m-2,%,,µmol m-2 s-1,g m-2
Dienstag,A1,8.144803113,2.31,0.76,7.6,1.26,597.3333333,10.002
Dienstag,A2,8.919398661,1.71,0.89,7.74,0.83,550,11.501
Dienstag,A3,5.528913195,1.12,2.988,14.06,0.71,381,21.251
Dienstag,B1,10.90501174,1.83,3.58,34.1,0.56,769.6666667,10.5
Dienstag,B2,12.51611581,2.08,0.43,3.46,1.04,725,12.42
Dienstag,B3,14.00225005,1.79,2.43,14.83,1.21,765.6666667,16.39
Dienstag,C1,3.092339216,1.32,0.042,0.47,1.58,380,8.964
Dienstag,C2,5.80419099,1.32,0.43,3.02,1.37,379,14.262
Dienstag,C3,3.506676493,0.87,0.192,1.56,1.24,359.6666667,12.322
Dienstag,D1,7.491458375,2.17,0.93,8.48,0.68,600,10.962
Dienstag,D2,5.525145848,2.35,0.2,1.44,0.67,547,13.896
Dienstag,D3,6.14095102,2.56,0.379,2.67,0.47,602.3333333,14.196
